"team_id","franchiseId","shortName","teamName","abbreviation","link"
"1","23","New Jersey","Devils","NJD","/api/v1/teams/1"
"6","6","Boston","Bruins","BOS","/api/v1/teams/6"
"3","10","NY Rangers","Rangers","NYR","/api/v1/teams/3"
"17","12","Detroit","Red Wings","DET","/api/v1/teams/17"
